Provinsi;Tingkat Pendidikan;Rata-rata Upah/Gaji Bersih
1;1,026089017;1670472
2;1,437432358;1800964
3;0,895248793;1656843
4;0,707195538;2094333
5;2,168865842;2116823
6;0,810988806;1879107
7;2,074672392;1644239
8;1,663856584;1609657
9;2,330772305;2362600
10;1,289871404;2355801
11;0,613521214;4201899
12;1,795184443;1951688
13;4,010069152;1489425
14;3,107730701;1469717
15;4,321078641;1664599
16;2,000219583;2317192
17;4,207353241;1967384
18;6,556251125;1278749
19;4,202948349;1035532
20;5,453483911;1805701
21;1,111068209;2325737
22;1,537663801;1809325
23;1,563302307;2615014
24;1,985934111;2112353
25;0,461589064;2134563
26;2,7334067;1610005
27;4,719705604;1961626
28;3,639737585;1813431
29;2,664690636;1608048
30;5,339250818;1238649
31;2,271533693;1471298
32;1,079628956;1806232
33;3,547247626;2104890
34;25,54686072;2221291
